,Event,Date,Start Time,Game,Category,Platform,Runners,Host
1,AGDQ2016,2016-01-03,17:00,Splatoon,Any%,WIIU,Tones Balones,
2,AGDQ2016,2016-01-03,18:08,Super Monkey Ball: Banana Blitz,All Worlds,WII,Miles,
3,AGDQ2016,2016-01-03,19:08,Super Monkey Ball,Expert through Master,GCN,Barhunga,
4,AGDQ2016,2016-01-03,19:37,Rayman Legends,Any%,PC,SpikeVegeta,
5,AGDQ2016,2016-01-03,21:35,Kirby 64: The Crystal Shards,100%,N64,swordsmankirby,
6,AGDQ2016,2016-01-03,22:58,Kirby: Squeak Squad,Any%,DS,Mr_Shasta,
7,AGDQ2016,2016-01-04,00:25,Diddy Kong Racing,All Trophies Race,N64,"MrsGizamaluke, Toufool31",
8,AGDQ2016,2016-01-04,01:02,Super Mario Kart,Any% Single Seg MP Race,SNES,"Md_Neo, KVD",
9,AGDQ2016,2016-01-04,02:06,Super Mario 64,120 star,N64,"Puncayshun, Cheese05, Simply",
10,AGDQ2016,2016-01-04,04:23,Super Mario 64 Multiplayer,16 Star —,,"360Chrism, Snowman",
11,AGDQ2016,2016-01-04,04:52,Fire Emblem: Path of Radiance,Any%,GCN,Gwimpage,
12,AGDQ2016,2016-01-04,07:19,The Legend of Zelda: Oracle of Ages,Any%,GBC,Casusby,
13,AGDQ2016,2016-01-04,09:29,Prinny: Can I Really Be the Hero?,Hell's Finest,PSP,PinkPajamas,
14,AGDQ2016,2016-01-04,10:10,Strider 2,Any%,PS1,chuckles825,
15,AGDQ2016,2016-01-04,10:47,Gunstar Super Heroes,Hard,GBA,Sonikkustar,
16,AGDQ2016,2016-01-04,11:22,Left 4 Dead 2,Main Campaigns co-op,PC,"Rawrica, Yashichi, TaylortotFTW, Urboykyle",
17,AGDQ2016,2016-01-04,12:46,Darksiders II,Any%,PC,snowysnowwolf,
18,AGDQ2016,2016-01-04,14:02,Devil May Cry 4: Special Edition,Vergil NG Devil Hunter,PC,PvtCb,
19,AGDQ2016,2016-01-04,15:36,Transformers: Devastation,"Any% NG+ Prime Difficulty, 1-Handed",PC,Halfcoordinated,
20,AGDQ2016,2016-01-04,16:53,Resident Evil HD Remaster,Jill or Chris Real Survival Best Ending,PC,Carcinogen,
21,AGDQ2016,2016-01-04,18:45,Super Star Wars,Any% Race,SNES,"Danzel_Glovington, Striker",
22,AGDQ2016,2016-01-04,19:30,The Magical Quest Starring Mickey Mouse,Any% Hard,SNES,"R3DninjaJOSH, darbian",
23,AGDQ2016,2016-01-04,20:04,Disney's Aladdin,Any%,SNES,JoeDamilio,
24,AGDQ2016,2016-01-04,20:32,The Lion King,Any% Hard,SNES,TheMexicanRunner,
25,AGDQ2016,2016-01-04,21:04,Goof Troop,any% 1p2c,SNES,Yagamoth,
26,AGDQ2016,2016-01-04,21:53,Kingdom Hearts HD 1.5 ReMIX,Any% Proud,PS3,Zetris,
27,AGDQ2016,2016-01-05,01:38,BattleBlock Theater,Any% Co-op Insane,PC,"MechaRichter, PJ",
28,AGDQ2016,2016-01-05,03:49,Ori and the Blind Forest,All Cells,PC,"Grimelios, Ankamius",
29,AGDQ2016,2016-01-05,04:56,Velocity 2X,New Game Any%,PC,Nosraef,
30,AGDQ2016,2016-01-05,06:35,Super Time Force Ultra,All Missions,PC,Tohloo,
31,AGDQ2016,2016-01-05,07:15,Fez,Any%,PC,Vulajin,
32,AGDQ2016,2016-01-05,07:54,Axiom Verge,Any%,PC,GVirus,
